iter	Passed	Remaining
795	9696	2485
796	9708	2472
797	9720	2460
798	9732	2448
799	9744	2436
800	9755	2423
801	9767	2411
802	9780	2399
803	9791	2387
804	9804	2375
805	9817	2363
806	9831	2351
807	9844	2339
808	9857	2327
809	9870	2315
810	9885	2303
811	9898	2291
812	9911	2279
813	9925	2267
814	9938	2256
815	9952	2244
816	9965	2232
817	9976	2219
818	9988	2207
819	10000	2195
820	10011	2182
821	10023	2170
822	10035	2158
823	10048	2146
824	10061	2134
825	10075	2122
826	10090	2110
827	10103	2098
828	10117	2086
829	10131	2075
830	10145	2063
831	10159	2051
832	10172	2039
833	10185	2027
834	10199	2015
835	10211	2003
836	10223	1990
837	10235	1978
838	10246	1966
839	10259	1954
840	10272	1942
841	10284	1929
842	10296	1917
843	10308	1905
844	10320	1893
845	10332	1880
846	10345	1868
847	10357	1856
848	10369	1844
849	10382	1832
850	10396	1820
851	10410	1808
852	10425	1796
853	10438	1784
854	10453	1772
855	10465	1760
856	10479	1748
857	10493	1736
858	10507	1724
859	10520	1712
860	10535	1700
861	10547	1688
862	10558	1676
863	10570	1663
864	10581	1651
865	10592	1639
866	10605	1626
867	10616	1614
868	10628	1602
869	10640	1589
870	10651	1577
871	10662	1565
872	10674	1552
873	10686	1540
874	10697	1528
875	10708	1515
876	10722	1503
877	10736	1491
878	10749	1479
879	10762	1467
880	10776	1455
881	10788	1443
882	10801	1431
883	10815	1419
884	10830	1407
885	10842	1395
886	10858	1383
887	10872	1371
888	10885	1359
889	10897	1346
890	10908	1334
891	10922	1322
892	10935	1310
893	10946	1297
894	10959	1285
895	10971	1273
896	10983	1261
897	10994	1248
898	11006	1236
899	11018	1224
900	11030	1212
901	11041	1199
902	11055	1187
903	11068	1175
904	11082	1163
905	11095	1151
906	11107	1138
907	11120	1126
908	11133	1114
909	11147	1102
910	11160	1090
911	11172	1078
912	11185	1065
913	11198	1053
914	11210	1041
915	11221	1029
916	11233	1016
917	11244	1004
918	11255	992
919	11267	979
920	11278	967
921	11291	955
922	11304	943
923	11316	930
924	11331	918
925	11344	906
926	11357	894
927	11372	882
928	11386	870
929	11400	858
930	11415	846
931	11428	833
932	11443	821
933	11456	809
934	11467	797
935	11479	784
936	11491	772
937	11502	760
938	11513	747
939	11525	735
940	11537	723
941	11550	711
942	11565	699
943	11579	686
944	11592	674
945	11605	662
946	11618	650
947	11630	637
948	11644	625
949	11658	613
950	11672	601
951	11685	589
952	11697	576
953	11709	564
954	11720	552
955	11731	539
956	11743	527
957	11755	515
958	11767	503
959	11778	490
960	11790	478
961	11802	466
962	11813	453
963	11826	441
964	11838	429
965	11850	417
966	11861	404
967	11872	392
968	11884	380
969	11896	367
970	11908	355
971	11919	343
972	11930	331
973	11941	318
974	11954	306
975	11968	294
976	11981	282
977	11995	269
978	12008	257
979	12022	245
980	12036	233
981	12050	220
982	12063	208
983	12076	196
984	12089	184
985	12103	171
986	12116	159
987	12127	147
988	12139	135
989	12152	122
990	12164	110
991	12175	98
992	12187	85
993	12199	73
994	12211	61
995	12222	49
996	12233	36
997	12246	24
998	12258	12
999	12270	0
